time param
17.566496 3.420000
17.570965 3.600000
17.575433 3.330000
17.579899 3.060000
17.584365 2.790000
17.588829 2.520000
17.593182 2.610000
17.601885 3.330000
17.604210 3.150000
17.606581 2.970000
17.610930 3.150000
17.615277 3.060000
17.619623 3.150000
17.623969 3.060000
17.628313 3.600000
17.632056 3.690000
17.635534 3.600000
17.639428 3.780000
17.643391 3.960000
17.647353 4.410000
17.651314 4.140000
17.659234 4.860000
17.663193 4.770000
17.667151 5.400000
17.671108 5.850000
17.675064 7.110000
17.679019 5.400000
17.682974 3.600000
17.686928 3.510000
17.690881 3.330000
17.695824 3.060000
17.700768 2.880000
17.705711 2.610000
17.710273 2.790000
17.719399 2.700000
17.723964 2.880000
17.733098 2.610000
17.737667 2.430000
17.742237 2.250000
17.751382 1.980000
17.760531 2.610000
17.764628 2.430000
17.768433 3.060000
17.772048 3.420000
17.775541 3.330000
17.778954 3.150000
17.783410 3.600000
17.792224 3.870000
17.801029 3.780000
17.809825 4.410000
17.818612 4.860000
17.828110 5.220000
17.834986 6.660000
17.841858 5.400000
17.848726 3.960000
17.856350 3.600000
17.863967 3.780000
17.872129 3.600000
17.880283 3.330000
17.888430 3.420000
17.893727 3.690000
17.899056 3.870000
17.909715 3.330000
17.921784 3.240000
17.928520 3.150000
17.935252 3.690000
17.941462 3.510000
17.947672 3.780000
17.950819 3.690000
17.953967 3.420000
17.957114 4.320000
17.963409 4.680000
17.966556 4.770000
17.969798 5.040000
17.973316 5.400000
17.977152 5.760000
17.980987 6.840000
17.984363 6.480000
17.987739 6.750000
17.991114 7.380000
17.994131 7.650000
17.997148 8.280000
18.002893 6.750000
18.005621 6.570000
18.008113 5.490000
18.010605 5.130000
18.013096 5.220000
18.015389 4.770000
18.017683 4.500000
18.019976 4.230000
18.022100 4.050000
18.024225 3.780000
18.026286 3.600000
18.028775 3.330000
18.031495 3.420000
18.034215 3.780000
18.036934 4.050000
18.039654 3.690000
18.042373 3.960000
18.045092 3.600000
18.047548 3.420000
18.054863 3.600000
18.059883 3.420000
18.064901 3.240000
18.077716 3.690000
18.090503 3.960000
18.103262 3.870000
18.118290 5.040000
18.133318 5.310000
18.148346 5.850000
18.163374 6.210000
18.178402 4.140000
18.193429 3.600000
18.208457 3.330000
18.223485 3.420000
18.238513 4.230000
18.253541 4.680000
18.268569 4.860000
18.280461 5.400000
18.294526 6.300000
18.309554 6.750000
18.324582 5.040000
18.339610 4.590000
18.354638 4.500000
18.369665 4.770000
18.391706 4.680000
18.403606 4.860000
18.416448 5.040000
18.431476 5.130000
18.445197 6.120000
18.460225 6.840000
18.475252 5.310000
18.490280 4.950000
18.507285 5.400000
18.524290 6.030000
18.534717 5.760000
18.548251 6.030000
18.553774 5.400000
18.561815 5.670000
18.569467 5.850000
18.580137 6.480000
18.590792 6.570000
18.600874 5.670000
18.611776 6.120000
18.622659 5.850000
18.632407 5.670000
18.643258 5.580000
18.653498 5.490000
18.663724 4.950000
18.673935 6.030000
18.684132 6.390000
18.694315 5.850000
18.703449 6.390000
18.712573 6.660000
18.721687 6.930000
18.730790 7.650000
18.748968 7.290000
18.758041 6.840000
18.766593 6.930000
18.775137 7.200000
18.792199 6.480000
18.800718 6.840000
18.809229 6.570000
18.821281 7.560000
18.833309 8.370000
18.845314 7.920000
18.857297 8.010000
18.872252 9.090000
18.887662 9.450000
18.903674 8.910000
18.921702 9.180000
18.938699 8.730000
18.955086 8.910000
18.967058 9.000000
18.978015 9.090000
18.988145 9.900000
19.000336 8.910000
19.014891 8.550000
19.029390 8.460000
19.042775 10.080000
19.057063 9.540000
19.071534 7.470000
19.086334 8.730000
19.101115 9.090000
19.116606 6.660000
19.131384 6.840000
19.147592 7.560000
19.157887 7.830000
19.168183 7.560000
19.178479 7.020000
19.188774 6.390000
19.199070 7.740000
19.209365 7.470000
19.218664 6.840000
19.224244 6.750000
19.233298 7.560000
19.242438 7.740000
19.251595 6.300000
19.260782 6.030000
19.270006 5.400000
19.279387 5.130000
19.288665 5.580000
19.298001 6.120000
19.307400 7.020000
19.316839 6.930000
19.326290 5.670000
19.335741 6.570000
19.352723 5.940000
19.386030 5.850000
19.399597 6.300000
19.411046 6.030000
19.422496 7.020000
19.435168 5.670000
19.448733 5.760000
19.463417 5.490000
19.476764 4.320000
19.490600 5.220000
19.504400 5.040000
19.517846 4.860000
19.543182 4.320000
19.555082 4.140000
19.566960 4.230000
19.575821 4.860000
19.586504 4.050000
19.596018 4.590000
19.605725 4.140000
19.615421 3.330000
19.624317 3.960000
19.633204 4.320000
19.641416 3.870000
19.649621 3.600000
19.657247 4.230000
19.664868 3.960000
19.671988 3.330000
19.679103 3.420000
19.685780 3.780000
19.692453 3.600000
19.698739 3.960000
19.705022 3.690000
19.711302 2.970000
19.723852 3.510000
19.729920 3.780000
19.736039 3.510000
19.742158 3.330000
19.748277 3.240000
19.754396 3.420000
19.760515 3.960000
19.766634 4.500000
19.772753 4.050000
19.778873 4.500000
19.784992 3.960000
19.791111 4.140000
19.797230 3.600000
19.803349 2.880000
19.809468 3.690000
19.815587 3.240000
19.821706 4.050000
19.827826 3.600000
19.833945 3.420000
19.840064 3.780000
19.846183 3.060000
19.852302 3.240000
19.858421 3.330000
19.864540 3.060000
19.870659 4.050000
19.876778 4.140000
19.882898 4.770000
19.889017 5.490000
19.895136 5.400000
19.901255 5.220000
19.907374 4.500000
19.913493 5.400000
19.919612 4.410000
19.925731 3.780000
19.931851 3.870000
19.937970 4.050000
19.944089 3.060000
19.950208 2.790000
19.956327 3.060000
19.962446 3.240000
19.968565 3.870000
19.974684 4.410000
19.979646 3.780000
19.984851 4.410000
19.990054 4.320000
19.995254 3.600000
19.998732 3.420000
